No;Datetime [local time]Europe/Berlin;Datetime [UTC];P1 [bar] - 207265-300mH2O;TOB1 [°C] - 207265-300mH2O;Conductivity raw [mS/cm] - 207265-300mH2O
36925;2026-08-19 18:45:24,0;2026-08-19T16:45:23,999Z;0,78907775879;21,24462890625;0,00016047806
36926;2026-08-19 18:45:25,0;2026-08-19T16:45:24,999Z;0,78907775879;21,24462890625;0,00016047806
36927;2026-08-19 18:45:25,100;2026-08-19T16:45:26,000Z;0,78907775879;21,24462890625;0,00017117709
36928;2026-08-19 18:45:27,0;2026-08-19T16:45:27,000Z;0,78907775879;21,24462890625;0,00016047806
36929;2026-08-19 18:45:28,0;2026-08-19T16:45:27,999Z;0,78907775879;21,24462890625;0,00017117709
36930;2026-08-19 18:45:28,100;2026-08-19T16:45:28,999Z;0,78907775879;21,24462890625;0,00016047806
36931;2026-08-19 18:45:29,100;2026-08-19T16:45:30,000Z;0,78907775879;21,24462890625;0,00017117709
36932;2026-08-19 18:45:31,0;2026-08-19T16:45:31,000Z;0,78907775879;21,24462890625;0,00017117709
36933;2026-08-19 18:45:32,0;2026-08-19T16:45:31,999Z;0,78845214844;21,24462890625;0,00016047806
36934;2026-08-19 18:45:32,100;2026-08-19T16:45:32,999Z;0,78845214844;21,24462890625;0,00017117709
36935;2026-08-19 18:45:33,100;2026-08-19T16:45:34,000Z;0,78907775879;21,24462890625;0,00017117709
36936;2026-08-19 18:45:35,0;2026-08-19T16:45:35,000Z;0,78970336914;21,24462890625;0,00017117709
36937;2026-08-19 18:45:36,0;2026-08-19T16:45:35,999Z;0,78907775879;21,24462890625;0,00016047806
36938;2026-08-19 18:45:36,100;2026-08-19T16:45:36,999Z;0,78907775879;21,24462890625;0,00016047806
36939;2026-08-19 18:45:37,100;2026-08-19T16:45:38,000Z;0,78907775879;21,24462890625;0,00016047806
36940;2026-08-19 18:45:39,0;2026-08-19T16:45:39,000Z;0,78907775879;21,24462890625;0,00016047806
36941;2026-08-19 18:45:40,0;2026-08-19T16:45:39,999Z;0,78845214844;21,24462890625;0,00017117709
36942;2026-08-19 18:45:40,100;2026-08-19T16:45:40,999Z;0,78907775879;21,24462890625;0,00016047806
36943;2026-08-19 18:45:41,100;2026-08-19T16:45:42,000Z;0,78907775879;21,24462890625;0,00016047806
36944;2026-08-19 18:45:43,0;2026-08-19T16:45:42,999Z;0,78845214844;21,24462890625;0,00017117709
36945;2026-08-19 18:45:44,0;2026-08-19T16:45:43,999Z;0,78907775879;21,24462890625;0,00016047806
36946;2026-08-19 18:45:44,100;2026-08-19T16:45:45,000Z;0,78907775879;21,228515625;0,00016047806
36947;2026-08-19 18:45:45,100;2026-08-19T16:45:46,000Z;0,78845214844;21,24462890625;0,00017117709
36948;2026-08-19 18:45:47,0;2026-08-19T16:45:47,000Z;0,78907775879;21,228515625;0,00017117709
36949;2026-08-19 18:45:48,0;2026-08-19T16:45:47,999Z;0,78907775879;21,24462890625;0,00016047806
36950;2026-08-19 18:45:48,100;2026-08-19T16:45:49,000Z;0,78907775879;21,24462890625;0,00016047806
36951;2026-08-19 18:45:49,100;2026-08-19T16:45:50,000Z;0,78907775879;21,228515625;0,00016047806
36952;2026-08-19 18:45:51,0;2026-08-19T16:45:50,999Z;0,78907775879;21,228515625;0,00017117709
36953;2026-08-19 18:45:52,0;2026-08-19T16:45:51,999Z;0,78970336914;21,24462890625;0,00016047806
36954;2026-08-19 18:45:52,100;2026-08-19T16:45:53,000Z;0,78907775879;21,228515625;0,00017117709
36955;2026-08-19 18:45:54,0;2026-08-19T16:45:54,000Z;0,78907775879;21,24462890625;0,00017117709
36956;2026-08-19 18:45:55,0;2026-08-19T16:45:54,999Z;0,78907775879;21,24462890625;0,00017117709
36957;2026-08-19 18:45:55,100;2026-08-19T16:45:55,999Z;0,78907775879;21,228515625;0,00016047806
36958;2026-08-19 18:45:56,100;2026-08-19T16:45:57,000Z;0,78907775879;21,228515625;0,00017117709
36959;2026-08-19 18:45:58,0;2026-08-19T16:45:58,000Z;0,78907775879;21,228515625;0,00017117709
36960;2026-08-19 18:45:59,0;2026-08-19T16:45:58,999Z;0,78907775879;21,228515625;0,00017117709
36961;2026-08-19 18:45:59,100;2026-08-19T16:45:59,999Z;0,78907775879;21,228515625;0,00017117709
36962;2026-08-19 18:46:00,100;2026-08-19T16:46:01,000Z;0,78907775879;21,228515625;0,00016047806
36963;2026-08-19 18:46:02,0;2026-08-19T16:46:02,000Z;0,78907775879;21,24462890625;0,00017117709
36964;2026-08-19 18:46:03,0;2026-08-19T16:46:02,999Z;0,78907775879;21,228515625;0,00016047806
36965;2026-08-19 18:46:03,100;2026-08-19T16:46:03,999Z;0,78845214844;21,228515625;0,00016047806
36966;2026-08-19 18:46:04,100;2026-08-19T16:46:05,000Z;0,78907775879;21,228515625;0,00016047806
36967;2026-08-19 18:46:06,0;2026-08-19T16:46:06,000Z;0,78845214844;21,228515625;0,00017117709
36968;2026-08-19 18:46:07,0;2026-08-19T16:46:06,999Z;0,78907775879;21,24462890625;0,00016047806
36969;2026-08-19 18:46:07,100;2026-08-19T16:46:07,999Z;0,78907775879;21,228515625;0,00016047806
36970;2026-08-19 18:46:08,100;2026-08-19T16:46:09,000Z;0,78845214844;21,228515625;0,00016047806
36971;2026-08-19 18:46:10,0;2026-08-19T16:46:09,999Z;0,78907775879;21,228515625;0,00016047806
36972;2026-08-19 18:46:11,0;2026-08-19T16:46:10,999Z;0,78907775879;21,228515625;0,00017117709
36973;2026-08-19 18:46:11,100;2026-08-19T16:46:12,000Z;0,78907775879;21,228515625;0,00017117709
36974;2026-08-19 18:46:12,100;2026-08-19T16:46:13,000Z;0,78907775879;21,228515625;0,00016047806
36975;2026-08-19 18:46:14,0;2026-08-19T16:46:14,000Z;0,78907775879;21,228515625;0,00017117709
36976;2026-08-19 18:46:15,0;2026-08-19T16:46:14,999Z;0,78907775879;21,228515625;0,00017117709
36977;2026-08-19 18:46:15,100;2026-08-19T16:46:16,000Z;0,78907775879;21,228515625;0,00016047806
36978;2026-08-19 18:46:16,100;2026-08-19T16:46:17,000Z;0,78907775879;21,228515625;0,00016047806
36979;2026-08-19 18:46:18,0;2026-08-19T16:46:17,999Z;0,78970336914;21,228515625;0,00017117709
36980;2026-08-19 18:46:19,0;2026-08-19T16:46:18,999Z;0,78907775879;21,228515625;0,00017117709
36981;2026-08-19 18:46:19,100;2026-08-19T16:46:20,000Z;0,78907775879;21,228515625;0,00017117709
36982;2026-08-19 18:46:21,0;2026-08-19T16:46:21,000Z;0,78907775879;21,228515625;0,00017117709
36983;2026-08-19 18:46:22,0;2026-08-19T16:46:21,999Z;0,78907775879;21,228515625;0,00017117709
36984;2026-08-19 18:46:23,0;2026-08-19T16:46:22,999Z;0,78907775879;21,228515625;0,00016047806
36985;2026-08-19 18:46:23,100;2026-08-19T16:46:24,000Z;0,78907775879;21,228515625;0,00016047806
36986;2026-08-19 18:46:25,0;2026-08-19T16:46:25,000Z;0,78907775879;21,228515625;0,00017117709
36987;2026-08-19 18:46:26,0;2026-08-19T16:46:25,999Z;0,78907775879;21,228515625;0,00016047806
36988;2026-08-19 18:46:26,100;2026-08-19T16:46:26,999Z;0,78907775879;21,228515625;0,00017117709
36989;2026-08-19 18:46:27,100;2026-08-19T16:46:28,000Z;0,78970336914;21,228515625;0,00016047806
36990;2026-08-19 18:46:29,0;2026-08-19T16:46:29,000Z;0,78845214844;21,228515625;0,00016047806
36991;2026-08-19 18:46:30,0;2026-08-19T16:46:29,999Z;0,78907775879;21,228515625;0,00017117709
36992;2026-08-19 18:46:30,100;2026-08-19T16:46:30,999Z;0,78907775879;21,21240234375;0,00017117709
36993;2026-08-19 18:46:31,100;2026-08-19T16:46:32,000Z;0,78907775879;21,228515625;0,00017117709
36994;2026-08-19 18:46:33,0;2026-08-19T16:46:33,000Z;0,78907775879;21,228515625;0,00017117709
36995;2026-08-19 18:46:34,0;2026-08-19T16:46:33,999Z;0,78845214844;21,228515625;0,00017117709
36996;2026-08-19 18:46:34,100;2026-08-19T16:46:34,999Z;0,78907775879;21,228515625;0,00016047806
36997;2026-08-19 18:46:35,100;2026-08-19T16:46:36,000Z;0,78907775879;21,228515625;0,00016047806
36998;2026-08-19 18:46:37,0;2026-08-19T16:46:36,999Z;0,78907775879;21,228515625;0,00017117709
36999;2026-08-19 18:46:38,0;2026-08-19T16:46:37,999Z;0,78907775879;21,21240234375;0,00016047806
37000;2026-08-19 18:46:38,100;2026-08-19T16:46:39,000Z;0,78907775879;21,228515625;0,00016047806
37001;2026-08-19 18:46:39,100;2026-08-19T16:46:40,000Z;0,78845214844;21,228515625;0,00016047806
37002;2026-08-19 18:46:41,0;2026-08-19T16:46:41,000Z;0,78970336914;21,21240234375;0,00017117709
37003;2026-08-19 18:46:42,0;2026-08-19T16:46:41,999Z;0,78907775879;21,21240234375;0,00016047806
37004;2026-08-19 18:46:42,100;2026-08-19T16:46:43,000Z;0,78843688965;21,228515625;0,00017117709
37005;2026-08-19 18:46:43,100;2026-08-19T16:46:44,000Z;0,78843688965;21,21240234375;0,00016047806
37006;2026-08-19 18:46:45,0;2026-08-19T16:46:44,999Z;0,78907775879;21,21240234375;0,00017117709
37007;2026-08-19 18:46:46,0;2026-08-19T16:46:45,999Z;0,78907775879;21,228515625;0,00016047806
37008;2026-08-19 18:46:46,100;2026-08-19T16:46:47,000Z;0,78907775879;21,21240234375;0,00016047806
37009;2026-08-19 18:46:48,0;2026-08-19T16:46:48,000Z;0,78907775879;21,228515625;0,00016047806
37010;2026-08-19 18:46:49,0;2026-08-19T16:46:48,999Z;0,78907775879;21,228515625;0,00016047806
37011;2026-08-19 18:46:50,0;2026-08-19T16:46:49,999Z;0,78970336914;21,21240234375;0,00016047806
37012;2026-08-19 18:46:50,100;2026-08-19T16:46:51,000Z;0,78907775879;21,21240234375;0,00016047806
37013;2026-08-19 18:46:52,0;2026-08-19T16:46:52,000Z;0,78843688965;21,21240234375;0,00016047806
37014;2026-08-19 18:46:53,0;2026-08-19T16:46:52,999Z;0,78907775879;21,228515625;0,00017117709
37015;2026-08-19 18:46:53,100;2026-08-19T16:46:53,999Z;0,78970336914;21,21240234375;0,00017117709
37016;2026-08-19 18:46:54,100;2026-08-19T16:46:55,000Z;0,78970336914;21,228515625;0,00017117709
37017;2026-08-19 18:46:56,0;2026-08-19T16:46:56,000Z;0,78907775879;21,21240234375;0,00016047806
37018;2026-08-19 18:46:57,0;2026-08-19T16:46:56,999Z;0,78845214844;21,228515625;0,00017117709
37019;2026-08-19 18:46:57,100;2026-08-19T16:46:57,999Z;0,78907775879;21,228515625;0,00016047806
37020;2026-08-19 18:46:58,100;2026-08-19T16:46:59,000Z;0,78907775879;21,228515625;0,00017117709
37021;2026-08-19 18:47:00,0;2026-08-19T16:47:00,000Z;0,78845214844;21,228515625;0,00017117709
37022;2026-08-19 18:47:01,0;2026-08-19T16:47:00,999Z;0,78907775879;21,21240234375;0,00017117709
37023;2026-08-19 18:47:01,100;2026-08-19T16:47:01,999Z;0,78907775879;21,21240234375;0,00016047806
37024;2026-08-19 18:47:02,100;2026-08-19T16:47:03,000Z;0,78843688965;21,21240234375;0,00016047806
37025;2026-08-19 18:47:04,0;2026-08-19T16:47:03,999Z;0,78907775879;21,228515625;0,00017117709
37026;2026-08-19 18:47:05,0;2026-08-19T16:47:04,999Z;0,78843688965;21,21240234375;0,00017117709
37027;2026-08-19 18:47:05,100;2026-08-19T16:47:05,999Z;0,78907775879;21,21240234375;0,00016047806
37028;2026-08-19 18:47:06,100;2026-08-19T16:47:07,000Z;0,78907775879;21,21240234375;0,00017117709
37029;2026-08-19 18:47:08,0;2026-08-19T16:47:08,000Z;0,78907775879;21,21240234375;0,00017117709
